################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.1513482054720127E-01 a       298     0    12     1    23
  2.2562469439940509E-02 a       299     0    12     1    24
 -7.7603760403041431E-03 a       300     0    12     1    25
 -3.4058025968448369E-01 a       301     0    13     1     1
  2.4004965822361921E-01 a       302     0    13     1     2
  4.6098953146247253E-04 a       303     0    13     1     3
  1.3535386927215770E-01 a       304     0    13     1     4
  2.2656546252004253E-01 a       305     0    13     1     5
 -1.3308303535039293E-01 a       306     0    13     1     6
  1.2545408685468265E-01 a       307     0    13     1     7
 -3.0438027188721791E-02 a       308     0    13     1     8
 -3.5248526568723904E-01 a       309     0    13     1     9
  7.5134792458946442E-02 a       310     0    13     1    10
  1.2291824297653470E-01 a       311     0    13     1    11
  3.8229933079202955E-01 a       312     0    13     1    12
 -2.2380345538545032E-01 a       313     0    13     1    13
 -1.0488384772078160E-01 a       314     0    13     1    14
  3.8761151125050419E-01 a       315     0    13     1    15
 -1.3498376360805056E-01 a       316     0    13     1    16
  1.3542097962274376E-02 a       317     0    13     1    17
 -2.0113899476631630E-01 a       318     0    13     1    18
 -9.5855505019752305E-02 a       319     0    13     1    19
  2.8172336507183299E-01 a       320     0    13     1    20
  1.9003551468730612E-01 a       321     0    13     1    21
 -2.5956855683607949E-01 a       322     0    13     1    22
  3.2100179384513511E-02 a       323     0    13     1    23
  1.8592888606038688E-01 a       324     0    13     1    24
 -1.6585538564256619E-01 a       325     0    13     1    25
 -4.9275452317890339E-01 a       326     0    14     1     1
  1.3469933556469371E-01 a       327     0    14     1     2
  7.2868952758394140E-02 a       328     0    14     1     3
  7.8646173981743964E-02 a       329     0    14     1     4
  5.1483305001046961E-02 a       330     0    14     1     5
 -3.5852449882935483E-01 a       331     0    14     1     6
  2.6718605518593797E-01 a       332     0    14     1     7
  5.6921826015591370E-01 a       333     0    14     1     8
 -2.9653252112001138E-01 a       334     0    14     1     9
 -3.0992328398018737E-01 a       335     0    14     1    10
  2.7998190488112401E-01 a       336     0    14     1    11
  2.9651750420363410E-01 a       337     0    14     1    12
  1.6002990693530270E-01 a       338     0    14     1    13
 -3.2866071276061931E-01 a       339     0    14     1    14
  6.6754331832805883E-03 a       340     0    14     1    15
 -4.3679584846290276E-01 a       341     0    14     1    16
 -5.1206656106842652E-01 a       342     0    14     1    17
  4.7375052124335204E-01 a       343     0    14     1    18
 -3.8755771683924944E-01 a       344     0    14     1    19
  3.9902568229283325E-01 a       345     0    14     1    20
  3.2669980936196341E-01 a       346     0    14     1    21
 -4.1981381958585451E-01 a       347     0    14     1    22
 -3.4875015790623143E-01 a       348     0    14     1    23
  1.8019152746895944E-01 a       349     0    14     1    24
 -2.3830468757428958E-01 a       350     0    14     1    25
 -7.0897001987550168E-01 a       351     0    15     1     1
 -3.7746233016337782E-02 a       352     0    15     1     2
  8.5238332214729609E-02 a       353     0    15     1     3
  6.5093881448168889E-01 a       354     0    15     1     4
  1.2099831369483438E-01 a       355     0    15     1     5
 -6.3846148735234420E-01 a       356     0    15     1     6
  4.8118065294944740E-01 a       357     0    15     1     7
  9.6909273630694057E-02 a       358     0    15     1     8
  2.0498982396784934E-01 a       359     0    15     1     9
 -4.7176990573391037E-01 a       360     0    15     1    10
  4.2786987443536006E-01 a       361     0    15     1    11
  3.6243907854945639E-01 a       362     0    15     1    12
 -2.8555624434176152E-01 a       363     0    15     1    13
 -6.0476817165003392E-03 a       364     0    15     1    14
  4.0391089419041931E-01 a       365     0    15     1    15
 -5.8023019953114463E-01 a       366     0    15     1    16
 -2.4565545254427174E-01 a       367     0    15     1    17
  3.2254548929230270E-01 a       368     0    15     1    18
 -1.6497012626003255E-01 a       369     0    15     1    19
  5.9967026564458803E-01 a       370     0    15     1    20
 -2.7315990040263555E-01 a       371     0    15     1    21
 -6.5912271526170185E-01 a       372     0    15     1    22
 -6.3249723818698678E-01 a       373     0    15     1    23
  1.5750187920940129E-01 a       374     0    15     1    24
 -9.3611964356493618E-02 a       375     0    15     1    25
 -4.1372005643107912E-01 a       376     0    16     1     1
 -1.5695264570815409E-01 a       377     0    16     1     2
 -2.4475084169879516E-01 a       378     0    16     1     3
 -5.9096290027141429E-01 a       379     0    16     1     4
 -1.4538955772425576E-02 a       380     0    16     1     5
 -2.0396821778182909E-02 a       381     0    16     1     6
 -5.5563585524118886E-02 a       382     0    16     1     7
  3.2149758876878765E-01 a       383     0    16     1     8
 -2.4000173316692253E-01 a       384     0    16     1     9
  1.2958002431147750E-01 a       385     0    16     1    10
 -9.8131220127990013E-02 a       386     0    16     1    11
  1.4670364212186504E-01 a       387     0    16     1    12
  4.0964977557870391E-01 a       388     0    16     1    13
 -3.7050191279367473E-01 a       389     0    16     1    14
 -8.0250277168984396E-01 a       390     0    16     1    15
  1.7949781668882248E-01 a       391     0    16     1    16
 -1.1666596881765985E-01 a       392     0    16     1    17
  1.2784041368347937E-01 a       393     0    16     1    18
  9.8172004028652046E-02 a       394     0    16     1    19
 -1.5052870044020611E-02 a       395     0    16     1    20
  4.6662280595403471E-01 a       396     0    16     1    21
  2.6947017449877064E-01 a       397     0    16     1    22
 -4.0758034372775136E-02 a       398     0    16     1    23
  2.0395364136896194E-01 a       399     0    16     1    24
  2.3271109578936117E-01 a       400     0    16     1    25
  3.9817189327932989E-01 a       401     0    17     1     1
 -9.7557468153536164E-02 a       402     0    17     1     2
 -1.6746613028589474E-01 a       403     0    17     1     3
  1.8468119774137860E-02 a       404     0    17     1     4
 -2.5223001948719334E-02 a       405     0    17     1     5
  6.5435418572044088E-02 a       406     0    17     1     6
 -1.3595527532025434E-01 a       407     0    17     1     7
 -4.1001258661193740E-01 a       408     0    17     1     8
  1.6145808436232742E-01 a       409     0    17     1     9
 -1.9342313262241462E-03 a       410     0    17     1    10
 -3.6965819757915702E-01 a       411     0    17     1    11
  3.4831859557717261E-02 a       412     0    17     1    12
 -7.1860390850760195E-02 a       413     0    17     1    13
 -1.6173519680534409E-01 a       414     0    17     1    14
 -1.1997232058820080E-01 a       415     0    17     1    15
  3.1151459866451686E-01 a       416     0    17     1    16
  4.1656262357752577E-01 a       417     0    17     1    17
 -1.1678201875308829E-01 a       418     0    17     1    18
  3.0866815892942562E-01 a       419     0    17     1    19
 -7.6883743757417988E-01 a       420     0    17     1    20
 -1.0969794586141117E-01 a       421     0    17     1    21
  3.0704434306327233E-01 a       422     0    17     1    22
  3.9281224268056336E-01 a       423     0    17     1    23
  4.2111640472933759E-01 a       424     0    17     1    24
  1.1105675736246295E-01 a       425     0    17     1    25
  1.5277357277569009E-01 a       426     0    18     1     1
  3.8006976730890990E-01 a       427     0    18     1     2
 -1.1565159468230977E-02 a       428     0    18     1     3
 -3.7624334019336197E-01 a       429     0    18     1     4
  2.3241045629249193E-02 a       430     0    18     1     5
  1.0514005222041767E-01 a       431     0    18     1     6
 -5.7791785353622588E-02 a       432     0    18     1     7
 -1.6072786121121254E-02 a       433     0    18     1     8
 -8.0340670653281432E-02 a       434     0    18     1     9
  3.0455728165072737E-01 a       435     0    18     1    10
  4.0656492623090769E-02 a       436     0    18     1    11
  3.9693440582186636E-02 a       437     0    18     1    12
  3.1221696081561923E-01 a       438     0    18     1    13
 -2.0146358855575636E-01 a       439     0    18     1    14
  1.5021312219644231E-01 a       440     0    18     1    15
 -1.8351347559084302E-01 a       441     0    18     1    16
 -2.1392949348877965E-01 a       442     0    18     1    17
  6.9360338305897301E-02 a       443     0    18     1    18
  3.6836600253923310E-02 a       444     0    18     1    19
  5.4760522621952523E-01 a       445     0    18     1    20
 -4.0667294525123160E-02 a       446     0    18     1    21
 -8.3860087884573015E-03 a       447     0    18     1    22
  3.5820899553774455E-01 a       448     0    18     1    23
 -1.7459709238228105E-01 a       449     0    18     1    24
  4.7863426250962626E-01 a       450     0    18     1    25
  1.9817584056245313E-01 a       451     0    19     1     1
 -3.0571027722382527E-01 a       452     0    19     1     2
 -4.0700606198339384E-01 a       453     0    19     1     3
  2.7865762804686289E-01 a       454     0    19     1     4
 -1.7612593070597032E-01 a       455     0    19     1     5
 -1.5719975537090564E-01 a       456     0    19     1     6
 -5.9780604232741924E-02 a       457     0    19     1     7
 -7.6943082016432476E-02 a       458     0    19     1     8
  6.6393541315613103E-01 a       459     0    19     1     9
  1.1244874050454307E-01 a       460     0    19     1    10
  6.6260292495217621E-01 a       461     0    19     1    11
  1.0600096501862184E-01 a       462     0    19     1    12
  6.6597603678543427E-01 a       463     0    19     1    13
 -2.2477520967422560E-01 a       464     0    19     1    14
  3.6231781287131026E-01 a       465     0    19     1    15
  6.4522168390488202E-02 a       466     0    19     1    16
 -4.7215257764905788E-01 a       467     0    19     1    17
 -9.8471187243571665E-03 a       468     0    19     1    18
 -3.1590340603150420E-02 a       469     0    19     1    19
  1.2221894517215653E-01 a       470     0    19     1    20
 -4.2458976340686522E-01 a       471     0    19     1    21
 -3.2604565261263990E-01 a       472     0    19     1    22
  6.4955850440669460E-01 a       473     0    19     1    23
 -2.2165999593212982E-01 a       474     0    19     1    24
  2.0719701204429041E-03 a       475     0    19     1    25
  3.6871047665783259E-02 a       476     0    20     1     1
  1.1387195028184582E-01 a       477     0    20     1     2
  3.3616344778885821E-01 a       478     0    20     1     3
  3.5337191231929188E-01 a       479     0    20     1     4
  1.4405575166089740E-01 a       480     0    20     1     5
 -2.0462772798679002E-01 a       481     0    20     1     6
  1.7593579570758983E-01 a       482     0    20     1     7
  4.0256118763611193E-01 a       483     0    20     1     8
 -4.8100128454994867E-01 a       484     0    20     1     9
  2.7102421222095407E-01 a       485     0    20     1    10
  2.0430420577935593E-01 a       486     0    20     1    11
 -7.3476106738825861E-02 a       487     0    20     1    12
 -3.3511346733596091E-02 a       488     0    20     1    13
 -2.6299359785454259E-02 a       489     0    20     1    14
  2.0920021475987136E-01 a       490     0    20     1    15
 -7.8870202906399067E-02 a       491     0    20     1    16
 -1.2676855675430353E-02 a       492     0    20     1    17
  2.5663537771462658E-01 a       493     0    20     1    18
  1.8437959446796534E-01 a       494     0    20     1    19
 -1.3034093667135838E-01 a       495     0    20     1    20
 -1.6524509502404702E-01 a       496     0    20     1    21
  2.9461669719021044E-01 a       497     0    20     1    22
 -1.0239601701010113E-01 a       498     0    20     1    23
 -9.0465956547581175E-02 a       499     0    20     1    24
  4.9142222528609211E-02 a       500     0    20     1    25
 -5.5267463614647849E-01 a       501     0    21     1     1
  3.7575798066677629E-02 a       502     0    21     1     2
  4.2692936956049532E-01 a       503     0    21     1     3
  3.5600434712210782E-01 a       504     0    21     1     4
 -4.2005582894535959E-02 a       505     0    21     1     5
  3.3899089543777305E-01 a       506     0    21     1     6
 -3.3277383889411372E-01 a       507     0    21     1     7
  1.1288374075017937E-01 a       508     0    21     1     8
  1.9356619082603210E-01 a       509     0    21     1     9
  3.0363654904948151E-01 a       510     0    21     1    10
  3.7662536379241211E-02 a       511     0    21     1    11
